[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=CACHE  cpu2=BUS
[sample=0] cpu=0 bench=iir cycles=8648 instructions=2592 cache-misses=13
[sample=1] cpu=0 bench=iir cycles=3919 instructions=2589 cache-misses=7
[sample=2] cpu=0 bench=iir cycles=3583 instructions=2589 cache-misses=2
[sample=3] cpu=0 bench=iir cycles=3541 instructions=2589 cache-misses=3
[sample=4] cpu=0 bench=iir cycles=3781 instructions=2589 cache-misses=2
[sample=5] cpu=0 bench=iir cycles=3542 instructions=2589 cache-misses=2
[sample=6] cpu=0 bench=iir cycles=3534 instructions=2589 cache-misses=1
[sample=7] cpu=0 bench=iir cycles=3543 instructions=2589 cache-misses=1
[sample=8] cpu=0 bench=iir cycles=3532 instructions=2589 cache-misses=2
[sample=9] cpu=0 bench=iir cycles=3527 instructions=2589 cache-misses=1
[sample=10] cpu=0 bench=iir cycles=3555 instructions=2589 cache-misses=1
[sample=11] cpu=0 bench=iir cycles=3525 instructions=2589 cache-misses=1
[sample=12] cpu=0 bench=iir cycles=3532 instructions=2589 cache-misses=2
[sample=13] cpu=0 bench=iir cycles=3564 instructions=2589 cache-misses=2
[sample=14] cpu=0 bench=iir cycles=3550 instructions=2589 cache-misses=2
[sample=15] cpu=0 bench=iir cycles=3545 instructions=2589 cache-misses=2
[sample=16] cpu=0 bench=iir cycles=3540 instructions=2589 cache-misses=2
[sample=17] cpu=0 bench=iir cycles=3527 instructions=2589 cache-misses=1
[sample=18] cpu=0 bench=iir cycles=3527 instructions=2588 cache-misses=2
[sample=19] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=2
[sample=20] cpu=0 bench=iir cycles=3532 instructions=2589 cache-misses=2
[sample=21] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=1
[sample=22] cpu=0 bench=iir cycles=3524 instructions=2588 cache-misses=2
[sample=23] cpu=0 bench=iir cycles=3539 instructions=2588 cache-misses=1
[sample=24] cpu=0 bench=iir cycles=3525 instructions=2588 cache-misses=2
[sample=25] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=2
[sample=26] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=1
[sample=27] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=1
[sample=28] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=2
[sample=29] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=1
[sample=30] cpu=0 bench=iir cycles=3531 instructions=2588 cache-misses=1
[sample=31] cpu=0 bench=iir cycles=3518 instructions=2588 cache-misses=2
[sample=32] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=0
[sample=33] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=1
[sample=34] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=2
[sample=35] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=0
[sample=36] cpu=0 bench=iir cycles=3516 instructions=2589 cache-misses=2
[sample=37] cpu=0 bench=iir cycles=3523 instructions=2588 cache-misses=1
[sample=38] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=1
[sample=39] cpu=0 bench=iir cycles=3519 instructions=2588 cache-misses=2
[sample=40] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=1
[sample=41] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=1
[sample=42] cpu=0 bench=iir cycles=3518 instructions=2588 cache-misses=1
[sample=43] cpu=0 bench=iir cycles=3531 instructions=2588 cache-misses=1
[sample=44] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=2
[sample=45] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=0
[sample=46] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=2
[sample=47] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=2
[sample=48] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=2
[sample=49] cpu=0 bench=iir cycles=3517 instructions=2588 cache-misses=1
[sample=50] cpu=0 bench=iir cycles=3485 instructions=2588 cache-misses=1
[sample=51] cpu=0 bench=iir cycles=3542 instructions=2588 cache-misses=1
[sample=52] cpu=0 bench=iir cycles=3552 instructions=2588 cache-misses=2
[sample=53] cpu=0 bench=iir cycles=3549 instructions=2588 cache-misses=5
[sample=54] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=0
[sample=55] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=2
[sample=56] cpu=0 bench=iir cycles=3541 instructions=2588 cache-misses=2
[sample=57] cpu=0 bench=iir cycles=3531 instructions=2588 cache-misses=2
[sample=58] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=2
[sample=59] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=2
[sample=60] cpu=0 bench=iir cycles=3530 instructions=2588 cache-misses=1
[sample=61] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=1
[sample=62] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=2
[sample=63] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=2
[sample=64] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=2
[sample=65] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=2
[sample=66] cpu=0 bench=iir cycles=3455 instructions=2588 cache-misses=1
[sample=67] cpu=0 bench=iir cycles=3510 instructions=2588 cache-misses=1
[sample=68] cpu=0 bench=iir cycles=3520 instructions=2588 cache-misses=2
[sample=69] cpu=0 bench=iir cycles=3524 instructions=2588 cache-misses=1
[sample=70] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=1
[sample=71] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=2
[sample=72] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=1
[sample=73] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=2
[sample=74] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=1
[sample=75] cpu=0 bench=iir cycles=3535 instructions=2588 cache-misses=2
[sample=76] cpu=0 bench=iir cycles=3524 instructions=2589 cache-misses=1
[sample=77] cpu=0 bench=iir cycles=3538 instructions=2588 cache-misses=1
[sample=78] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=1
[sample=79] cpu=0 bench=iir cycles=3525 instructions=2588 cache-misses=2
[sample=80] cpu=0 bench=iir cycles=3529 instructions=2588 cache-misses=2
[sample=81] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=0
[sample=82] cpu=0 bench=iir cycles=9083 instructions=2588 cache-misses=11
[sample=83] cpu=0 bench=iir cycles=3599 instructions=2589 cache-misses=3
[sample=84] cpu=0 bench=iir cycles=3857 instructions=2589 cache-misses=1
[sample=85] cpu=0 bench=iir cycles=3558 instructions=2588 cache-misses=3
[sample=86] cpu=0 bench=iir cycles=3493 instructions=2589 cache-misses=0
[sample=87] cpu=0 bench=iir cycles=3487 instructions=2589 cache-misses=1
[sample=88] cpu=0 bench=iir cycles=3517 instructions=2589 cache-misses=0
[sample=89] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=0
[sample=90] cpu=0 bench=iir cycles=3511 instructions=2589 cache-misses=1
[sample=91] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=1
[sample=92] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=0
[sample=93] cpu=0 bench=iir cycles=3499 instructions=2589 cache-misses=1
[sample=94] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=1
[sample=95] cpu=0 bench=iir cycles=3542 instructions=2588 cache-misses=2
[sample=96] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=2
[sample=97] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=1
[sample=98] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=2
[sample=99] cpu=0 bench=iir cycles=3487 instructions=2588 cache-misses=2

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                        3455                 9083              3635.23              3518.50
  instructions                  2588                 2592              2588.31              2588.00
  cache-misses                     0                   13                 1.73                 2.00
