[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=iir (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=iir cycles=8131 instructions=2593 cache-misses=16
[sample=1] cpu=0 bench=iir cycles=4178 instructions=2589 cache-misses=13
[sample=2] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=9
[sample=3] cpu=0 bench=iir cycles=3801 instructions=2589 cache-misses=10
[sample=4] cpu=0 bench=iir cycles=3589 instructions=2589 cache-misses=9
[sample=5] cpu=0 bench=iir cycles=3568 instructions=2589 cache-misses=8
[sample=6] cpu=0 bench=iir cycles=8288 instructions=2589 cache-misses=12
[sample=7] cpu=0 bench=iir cycles=3985 instructions=2589 cache-misses=12
[sample=8] cpu=0 bench=iir cycles=3621 instructions=2589 cache-misses=10
[sample=9] cpu=0 bench=iir cycles=3667 instructions=2589 cache-misses=12
[sample=10] cpu=0 bench=iir cycles=3649 instructions=2589 cache-misses=10
[sample=11] cpu=0 bench=iir cycles=3592 instructions=2589 cache-misses=9
[sample=12] cpu=0 bench=iir cycles=6694 instructions=2589 cache-misses=11
[sample=13] cpu=0 bench=iir cycles=3938 instructions=2589 cache-misses=11
[sample=14] cpu=0 bench=iir cycles=3612 instructions=2589 cache-misses=10
[sample=15] cpu=0 bench=iir cycles=3633 instructions=2589 cache-misses=11
[sample=16] cpu=0 bench=iir cycles=3669 instructions=2589 cache-misses=11
[sample=17] cpu=0 bench=iir cycles=3605 instructions=2589 cache-misses=10
[sample=18] cpu=0 bench=iir cycles=3594 instructions=2589 cache-misses=8
[sample=19] cpu=0 bench=iir cycles=3628 instructions=2589 cache-misses=10
[sample=20] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=9
[sample=21] cpu=0 bench=iir cycles=3645 instructions=2589 cache-misses=11
[sample=22] cpu=0 bench=iir cycles=3677 instructions=2589 cache-misses=12
[sample=23] cpu=0 bench=iir cycles=3656 instructions=2589 cache-misses=9
[sample=24] cpu=0 bench=iir cycles=3668 instructions=2589 cache-misses=17
[sample=25] cpu=0 bench=iir cycles=3586 instructions=2589 cache-misses=9
[sample=26] cpu=0 bench=iir cycles=3598 instructions=2589 cache-misses=10
[sample=27] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=9
[sample=28] cpu=0 bench=iir cycles=3609 instructions=2589 cache-misses=11
[sample=29] cpu=0 bench=iir cycles=3590 instructions=2589 cache-misses=9
[sample=30] cpu=0 bench=iir cycles=3658 instructions=2589 cache-misses=10
[sample=31] cpu=0 bench=iir cycles=3567 instructions=2589 cache-misses=8
[sample=32] cpu=0 bench=iir cycles=3647 instructions=2589 cache-misses=10
[sample=33] cpu=0 bench=iir cycles=3641 instructions=2589 cache-misses=6
[sample=34] cpu=0 bench=iir cycles=3650 instructions=2589 cache-misses=10
[sample=35] cpu=0 bench=iir cycles=3638 instructions=2589 cache-misses=9
[sample=36] cpu=0 bench=iir cycles=7533 instructions=2589 cache-misses=10
[sample=37] cpu=0 bench=iir cycles=4155 instructions=2588 cache-misses=4
[sample=38] cpu=0 bench=iir cycles=3526 instructions=2589 cache-misses=1
[sample=39] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=2
[sample=40] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=2
[sample=41] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=0
[sample=42] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=1
[sample=43] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=0
[sample=44] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=1
[sample=45] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=1
[sample=46] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=1
[sample=47] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=1
[sample=48] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=1
[sample=49] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=1
[sample=50] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=1
[sample=51] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=2
[sample=52] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=1
[sample=53] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=2
[sample=54] cpu=0 bench=iir cycles=3475 instructions=2588 cache-misses=3
[sample=55] cpu=0 bench=iir cycles=3456 instructions=2588 cache-misses=0
[sample=56] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=1
[sample=57] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=0
[sample=58] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=3
[sample=59] cpu=0 bench=iir cycles=3458 instructions=2588 cache-misses=1
[sample=60] cpu=0 bench=iir cycles=3468 instructions=2588 cache-misses=2
[sample=61] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=2
[sample=62] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=2
[sample=63] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=1
[sample=64] cpu=0 bench=iir cycles=3447 instructions=2588 cache-misses=0
[sample=65] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=0
[sample=66] cpu=0 bench=iir cycles=3487 instructions=2588 cache-misses=1
[sample=67] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=1
[sample=68] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=3
[sample=69] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=1
[sample=70] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=1
[sample=71] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=0
[sample=72] cpu=0 bench=iir cycles=3463 instructions=2588 cache-misses=2
[sample=73] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=2
[sample=74] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=3
[sample=75] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=1
[sample=76] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=1
[sample=77] cpu=0 bench=iir cycles=3467 instructions=2588 cache-misses=1
[sample=78] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=1
[sample=79] cpu=0 bench=iir cycles=3463 instructions=2588 cache-misses=0
[sample=80] cpu=0 bench=iir cycles=3448 instructions=2588 cache-misses=0
[sample=81] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=82] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=1
[sample=83] cpu=0 bench=iir cycles=3448 instructions=2588 cache-misses=0
[sample=84] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=2
[sample=85] cpu=0 bench=iir cycles=3471 instructions=2588 cache-misses=1
[sample=86] cpu=0 bench=iir cycles=3466 instructions=2588 cache-misses=1
[sample=87] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=1
[sample=88] cpu=0 bench=iir cycles=3461 instructions=2588 cache-misses=0
[sample=89] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=0
[sample=90] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=1
[sample=91] cpu=0 bench=iir cycles=3523 instructions=2588 cache-misses=1
[sample=92] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=0
[sample=93] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=1
[sample=94] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=1
[sample=95] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=1
[sample=96] cpu=0 bench=iir cycles=3520 instructions=2588 cache-misses=2
[sample=97] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=1
[sample=98] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=1
[sample=99] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=1

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu0)
# event                          min                  max                  avg               median
  cycles                        3447                 8288              3720.25              3504.00
  instructions                  2588                 2593              2588.42              2588.00
  cache-misses                     0                   17                 4.52                 2.00
