[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=iir cycles=9526 instructions=2593 cache-misses=18
[sample=1] cpu=0 bench=iir cycles=5338 instructions=2589 cache-misses=9
[sample=2] cpu=0 bench=iir cycles=4318 instructions=2588 cache-misses=12
[sample=3] cpu=0 bench=iir cycles=3835 instructions=2588 cache-misses=10
[sample=4] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=10
[sample=5] cpu=0 bench=iir cycles=3788 instructions=2588 cache-misses=9
[sample=6] cpu=0 bench=iir cycles=3532 instructions=2588 cache-misses=9
[sample=7] cpu=0 bench=iir cycles=3594 instructions=2588 cache-misses=10
[sample=8] cpu=0 bench=iir cycles=3581 instructions=2589 cache-misses=9
[sample=9] cpu=0 bench=iir cycles=3874 instructions=2588 cache-misses=10
[sample=10] cpu=0 bench=iir cycles=3586 instructions=2588 cache-misses=11
[sample=11] cpu=0 bench=iir cycles=3571 instructions=2588 cache-misses=11
[sample=12] cpu=0 bench=iir cycles=3539 instructions=2588 cache-misses=10
[sample=13] cpu=0 bench=iir cycles=3557 instructions=2588 cache-misses=9
[sample=14] cpu=0 bench=iir cycles=3569 instructions=2588 cache-misses=9
[sample=15] cpu=0 bench=iir cycles=3756 instructions=2588 cache-misses=8
[sample=16] cpu=0 bench=iir cycles=3561 instructions=2588 cache-misses=9
[sample=17] cpu=0 bench=iir cycles=3541 instructions=2588 cache-misses=9
[sample=18] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=8
[sample=19] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=7
[sample=20] cpu=0 bench=iir cycles=3534 instructions=2588 cache-misses=11
[sample=21] cpu=0 bench=iir cycles=3510 instructions=2588 cache-misses=10
[sample=22] cpu=0 bench=iir cycles=3550 instructions=2588 cache-misses=9
[sample=23] cpu=0 bench=iir cycles=3576 instructions=2588 cache-misses=12
[sample=24] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=10
[sample=25] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=7
[sample=26] cpu=0 bench=iir cycles=3554 instructions=2588 cache-misses=9
[sample=27] cpu=0 bench=iir cycles=3525 instructions=2588 cache-misses=9
[sample=28] cpu=0 bench=iir cycles=3539 instructions=2588 cache-misses=9
[sample=29] cpu=0 bench=iir cycles=3564 instructions=2588 cache-misses=11
[sample=30] cpu=0 bench=iir cycles=3547 instructions=2588 cache-misses=10
[sample=31] cpu=0 bench=iir cycles=3551 instructions=2588 cache-misses=10
[sample=32] cpu=0 bench=iir cycles=3519 instructions=2588 cache-misses=9
[sample=33] cpu=0 bench=iir cycles=3587 instructions=2588 cache-misses=10
[sample=34] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=8
[sample=35] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=8
[sample=36] cpu=0 bench=iir cycles=3573 instructions=2588 cache-misses=10
[sample=37] cpu=0 bench=iir cycles=3639 instructions=2588 cache-misses=12
[sample=38] cpu=0 bench=iir cycles=3522 instructions=2588 cache-misses=10
[sample=39] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=9
[sample=40] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=8
[sample=41] cpu=0 bench=iir cycles=3529 instructions=2588 cache-misses=8
[sample=42] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=8
[sample=43] cpu=0 bench=iir cycles=3543 instructions=2588 cache-misses=10
[sample=44] cpu=0 bench=iir cycles=3494 instructions=2588 cache-misses=8
[sample=45] cpu=0 bench=iir cycles=3557 instructions=2588 cache-misses=9
[sample=46] cpu=0 bench=iir cycles=3548 instructions=2589 cache-misses=10
[sample=47] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=9
[sample=48] cpu=0 bench=iir cycles=3564 instructions=2588 cache-misses=9
[sample=49] cpu=0 bench=iir cycles=3551 instructions=2588 cache-misses=10
[sample=50] cpu=0 bench=iir cycles=3544 instructions=2589 cache-misses=9
[sample=51] cpu=0 bench=iir cycles=3546 instructions=2588 cache-misses=9
[sample=52] cpu=0 bench=iir cycles=3512 instructions=2588 cache-misses=7
[sample=53] cpu=0 bench=iir cycles=3526 instructions=2588 cache-misses=9
[sample=54] cpu=0 bench=iir cycles=3553 instructions=2588 cache-misses=9
[sample=55] cpu=0 bench=iir cycles=3575 instructions=2588 cache-misses=8
[sample=56] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=9
[sample=57] cpu=0 bench=iir cycles=3470 instructions=2588 cache-misses=7
[sample=58] cpu=0 bench=iir cycles=3522 instructions=2588 cache-misses=8
[sample=59] cpu=0 bench=iir cycles=3539 instructions=2588 cache-misses=10
[sample=60] cpu=0 bench=iir cycles=3562 instructions=2589 cache-misses=11
[sample=61] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=9
